v4_0,mmm-yy,Time,uk-only,Geography,sic-unofficial,UnofficialStandardIndustrialClassification
99.3484,Mar-26,Mar-26,K02000001,United Kingdom,P,P : Education
102.4678,Mar-26,Mar-26,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
109.232,Mar-26,Mar-26,K02000001,United Kingdom,Q,Q : Human health and social work activities
102.186,Mar-26,Mar-26,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
94.8418,Mar-26,Mar-26,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
110.9317,Mar-26,Mar-26,K02000001,United Kingdom,H,H : Transportation and storage
98.3408,Mar-26,Mar-26,K02000001,United Kingdom,T,T : Activities of Households as employers
104.4547,Mar-26,Mar-26,K02000001,United Kingdom,G--T,G-T : Index of Services
115.0275,Mar-26,Mar-26,K02000001,United Kingdom,J,J : Information and communication
103.5551,Mar-26,Mar-26,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
83.1448,Mar-26,Mar-26,K02000001,United Kingdom,B,B : Mining and quarrying
98.7305,Mar-26,Mar-26,K02000001,United Kingdom,B--E,B-E : Production Industries
103.396,Mar-26,Mar-26,K02000001,United Kingdom,A--T,A-T : Monthly GDP
96.9648,Mar-26,Mar-26,K02000001,United Kingdom,A,A : Agriculture
100.574,Mar-26,Mar-26,K02000001,United Kingdom,F,F : Construction
102.6925,Mar-26,Mar-26,K02000001,United Kingdom,I,I : Accommodation and food service activities
100.0365,Mar-26,Mar-26,K02000001,United Kingdom,K,K : Financial and insurance activities
103.9865,Mar-26,Mar-26,K02000001,United Kingdom,N,N : Administrative and support service activities
105.5073,Mar-26,Mar-26,K02000001,United Kingdom,S,S : Other Service Activities
101.9498,Mar-26,Mar-26,K02000001,United Kingdom,L,L : Real estate activities
101.1003,Mar-26,Mar-26,K02000001,United Kingdom,C,C : Manufacturing
103.7075,Mar-26,Mar-26,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
102.1253,Mar-26,Mar-26,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
107.7938,Mar-26,Mar-26,K02000001,United Kingdom,O,O : Public administration and defence
113.5633,Mar-26,Mar-26,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
105.5526,Mar-26,Mar-26,K02000001,United Kingdom,O--T,O-T : Government and Other Services
101.9642,Mar-26,Mar-26,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
100.244,Feb-26,Feb-26,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
98.2784,Feb-26,Feb-26,K02000001,United Kingdom,T,T : Activities of Households as employers
85.1073,Feb-26,Feb-26,K02000001,United Kingdom,B,B : Mining and quarrying
102.1711,Feb-26,Feb-26,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
103.7966,Feb-26,Feb-26,K02000001,United Kingdom,N,N : Administrative and support service activities
107.7166,Feb-26,Feb-26,K02000001,United Kingdom,O,O : Public administration and defence
112.5025,Feb-26,Feb-26,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
99.14,Feb-26,Feb-26,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
101.788,Feb-26,Feb-26,K02000001,United Kingdom,L,L : Real estate activities
99.946,Feb-26,Feb-26,K02000001,United Kingdom,C,C : Manufacturing
105.3798,Feb-26,Feb-26,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
98.1025,Feb-26,Feb-26,K02000001,United Kingdom,A,A : Agriculture
103.0882,Feb-26,Feb-26,K02000001,United Kingdom,A--T,A-T : Monthly GDP
99.0862,Feb-26,Feb-26,K02000001,United Kingdom,F,F : Construction
101.9987,Feb-26,Feb-26,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
110.14,Feb-26,Feb-26,K02000001,United Kingdom,H,H : Transportation and storage
99.4649,Feb-26,Feb-26,K02000001,United Kingdom,P,P : Education
101.3916,Feb-26,Feb-26,K02000001,United Kingdom,I,I : Accommodation and food service activities
113.817,Feb-26,Feb-26,K02000001,United Kingdom,J,J : Information and communication
104.8005,Feb-26,Feb-26,K02000001,United Kingdom,S,S : Other Service Activities
102.0015,Feb-26,Feb-26,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
105.2254,Feb-26,Feb-26,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.6535,Feb-26,Feb-26,K02000001,United Kingdom,K,K : Financial and insurance activities
103.526,Feb-26,Feb-26,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
108.8247,Feb-26,Feb-26,K02000001,United Kingdom,Q,Q : Human health and social work activities
104.1359,Feb-26,Feb-26,K02000001,United Kingdom,G--T,G-T : Index of Services
98.9293,Feb-26,Feb-26,K02000001,United Kingdom,B--E,B-E : Production Industries
103.6687,Jan-26,Jan-26,K02000001,United Kingdom,G--T,G-T : Index of Services
102.2017,Jan-26,Jan-26,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
101.6615,Jan-26,Jan-26,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
107.6747,Jan-26,Jan-26,K02000001,United Kingdom,O,O : Public administration and defence
99.3885,Jan-26,Jan-26,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
105.0872,Jan-26,Jan-26,K02000001,United Kingdom,O--T,O-T : Government and Other Services
98.6337,Jan-26,Jan-26,K02000001,United Kingdom,B--E,B-E : Production Industries
112.3381,Jan-26,Jan-26,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
103.9729,Jan-26,Jan-26,K02000001,United Kingdom,S,S : Other Service Activities
105.5474,Jan-26,Jan-26,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
101.611,Jan-26,Jan-26,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
99.3076,Jan-26,Jan-26,K02000001,United Kingdom,K,K : Financial and insurance activities
101.5547,Jan-26,Jan-26,K02000001,United Kingdom,L,L : Real estate activities
100.1342,Jan-26,Jan-26,K02000001,United Kingdom,C,C : Manufacturing
81.8341,Jan-26,Jan-26,K02000001,United Kingdom,B,B : Mining and quarrying
102.6536,Jan-26,Jan-26,K02000001,United Kingdom,A--T,A-T : Monthly GDP
99.4461,Jan-26,Jan-26,K02000001,United Kingdom,A,A : Agriculture
98.5591,Jan-26,Jan-26,K02000001,United Kingdom,F,F : Construction
113.651,Jan-26,Jan-26,K02000001,United Kingdom,J,J : Information and communication
101.6207,Jan-26,Jan-26,K02000001,United Kingdom,N,N : Administrative and support service activities
109.9784,Jan-26,Jan-26,K02000001,United Kingdom,H,H : Transportation and storage
109.0564,Jan-26,Jan-26,K02000001,United Kingdom,Q,Q : Human health and social work activities
97.7542,Jan-26,Jan-26,K02000001,United Kingdom,T,T : Activities of Households as employers
99.0791,Jan-26,Jan-26,K02000001,United Kingdom,P,P : Education
101.2052,Jan-26,Jan-26,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
101.8396,Jan-26,Jan-26,K02000001,United Kingdom,I,I : Accommodation and food service activities
98.2482,Jan-26,Jan-26,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
111.3551,Dec-25,Dec-25,K02000001,United Kingdom,H,H : Transportation and storage
97.3561,Dec-25,Dec-25,K02000001,United Kingdom,T,T : Activities of Households as employers
112.5162,Dec-25,Dec-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
101.5478,Dec-25,Dec-25,K02000001,United Kingdom,L,L : Real estate activities
101.5494,Dec-25,Dec-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
102.503,Dec-25,Dec-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
108.3623,Dec-25,Dec-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
100.0339,Dec-25,Dec-25,K02000001,United Kingdom,C,C : Manufacturing
104.7576,Dec-25,Dec-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.121,Dec-25,Dec-25,K02000001,United Kingdom,K,K : Financial and insurance activities
107.655,Dec-25,Dec-25,K02000001,United Kingdom,O,O : Public administration and defence
102.0768,Dec-25,Dec-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
98.7474,Dec-25,Dec-25,K02000001,United Kingdom,P,P : Education
100.1528,Dec-25,Dec-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
97.5902,Dec-25,Dec-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
104.1137,Dec-25,Dec-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
98.7667,Dec-25,Dec-25,K02000001,United Kingdom,B--E,B-E : Production Industries
101.1659,Dec-25,Dec-25,K02000001,United Kingdom,A,A : Agriculture
97.8529,Dec-25,Dec-25,K02000001,United Kingdom,F,F : Construction
102.6179,Dec-25,Dec-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
103.6066,Dec-25,Dec-25,K02000001,United Kingdom,S,S : Other Service Activities
86.4218,Dec-25,Dec-25,K02000001,United Kingdom,B,B : Mining and quarrying
100.4981,Dec-25,Dec-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
103.6387,Dec-25,Dec-25,K02000001,United Kingdom,G--T,G-T : Index of Services
100.9415,Dec-25,Dec-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
113.1622,Dec-25,Dec-25,K02000001,United Kingdom,J,J : Information and communication
104.5861,Dec-25,Dec-25,K02000001,United Kingdom,N,N : Administrative and support service activities
107.6359,Nov-25,Nov-25,K02000001,United Kingdom,O,O : Public administration and defence
108.8078,Nov-25,Nov-25,K02000001,United Kingdom,H,H : Transportation and storage
98.8607,Nov-25,Nov-25,K02000001,United Kingdom,K,K : Financial and insurance activities
103.1854,Nov-25,Nov-25,K02000001,United Kingdom,G--T,G-T : Index of Services
